story,url,title,descr
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7160924.shtml,"Неймар: «Не сомневаюсь, что «ПСЖ» выиграет Лигу чемпионов»",Первый шаг уже сделан – на «Олд Траффорд» был обыгран «Манчестер Юнайтед».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160856.shtml,Кепа Аррисабалага: «Я полностью уважаю тренера и его авторитет. Случилось недопонимание»,Закрываем конфликт?
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/serie-a/2018-2019/story_sto7160831.shtml,"Перишич жестко одернул Политано, когда тот во время празднования показал фирменный жест Икарди",В «Интере» своя атмосфера.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7160814.shtml,«Хороший старт для оскаровской ночи». «Атлетико» высоко оценил актерскую игру Каземиро,"Симуляция бразильца принесла «Реалу» победу, и соседям с «Ванда Метрополитано» это не понравилось."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160794.shtml,Виллиан обнялся и посмеялся с Пепом Гвардиолой после поражения «Челси»,Это понравилось далеко не всем фанатам «синих».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160791.shtml,Крис Саттон: «Матч против «Сити» должен стать последним для Кепы в футболке «Челси». Это позор»,"Впрочем, Сарри уже признал правоту Аррисабалаги – так что испанец наверняка останется основным кипером «синих»."
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/story_sto7160535.shtml,"Новый трофей «Сити», отскок «Реала» и подъем «Монако». Воскресный футбол взбодрил на неделю",А еще вымученная победа «Ювентуса» и первый за пять матчей успех «Боруссии».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7160659.shtml,«Реал» победил «Леванте» и породил мем с Каземиро. VAR снова в центре скандала,Футбол снова отошел на второй план.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/ligue-1/2018-2019/live_mtc1029893.shtml,Онлайн Монако - Лион - Чемпионат Франции - 24 февраля 2019,Встреча Чемпионат Франции между Монако - Олимпик Лион в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/liga/2018-2019/story_sto7160602.shtml,"«Леванте» забил один мяч с игры, «Реал» – 0, но победил «Мадрид»",Все в стиле «бланкос».
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/la-liga/2018-2019/live_mtc1056523.shtml,Онлайн Леванте - Реал Мадрид - Чемпионат Испании - 24 февраля 2019,Встреча Чемпионат Испании между Леванте - Реал Мадрид в прямой трансляции на Eurosport.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160587.shtml,"Главный тренер «Челси» Маурицио Сарри: «Я не разобрался, а Кепа был прав»",Итальянский коуч стоит стеной за игроков.
https://www.eurosport.ru/football/,https://www.eurosport.ru/football/league-cup/2018-2019/story_sto7160557.shtml,«Почему игроки не выкинули Кепу?» «Челси» устроил шоу из замены вратаря и влетел «Сити» по пенальти,"Маурицио Сарри признал, что Аррисабалага был прав."
https://www.eurosport.ru/football/champions-league/,https://video.eurosport.ru/tennis/atp-acapulco/2019/video_vid1169077.shtml,Кирьос поиздевался над Надалем унизительной подачей и моментально словил хейт трибун,И недовольство Надаля.
https://www.eurosport.ru/football/champions-league/,https://video.eurosport.ru/tennis/atp-acapulco/2019/video_vid1169063.shtml,"Невероятно красивый матч Надаля и Кирьоса, после которого Ник обезумел от счастья и победы",Австралиец прошел легендарного испанца в Акапулько.
https://www.eurosport.ru/football/champions-league/,https://video.eurosport.ru/cycling-track/world-championships/2018-2019/video_vid1168941.shtml,"Даже массовые аварии во время заездов NASCAR выглядят не так ужасно, как этот завал девушек на треке",Вы только взгляните на это месиво.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7162728.shtml,Дисциплинарный комитет УЕФА рассмотрит дело об умышленной желтой Серхио Рамоса в матче ЛЧ,За мирового лидера по нарушениям серьезно принялись.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7160924.shtml,"Неймар: «Не сомневаюсь, что «ПСЖ» выиграет Лигу чемпионов»",Первый шаг уже сделан – на «Олд Траффорд» был обыгран «Манчестер Юнайтед».
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7156360.shtml,"Кристоф Дюгарри: «Симеоне и футболисты «Атлетико» заходят слишком далеко. Это футбол, а не война»",В матче с «Юве» «индейцы» вели себя чересчур агрессивно.
https://www.eurosport.ru/football/champions-league/,https://www.eurosport.ru/football/champions-league/2018-2019/story_sto7155792.shtml,Диего Симеоне грозит дисквалификация на ответку с «Ювентусом» из-за жеста в первой игре,"Стоп, а почему Лёву можно елозить по паху, а Симеоне – нельзя?"
